"species","sex","dye_on_stigma","dye_on_anthers","flower","person","bill_stained","date","collection_time","dye_time","notes","bill_type","specialization","dye_on_stigma_binary","dye_on_anthers_binary"
"GREH","M","N","lots","open","Ferne","Unknown",2025-03-13,1899-12-31 11:00:00,1899-12-31 13:00:00,NA,"GREH-M","trapliner","No","Yes"
"GREH","M","N","lots","open","Mike","Unknown",2025-03-13,1899-12-31 11:00:00,1899-12-31 13:00:00,NA,"GREH-M","trapliner","No","Yes"
"GREH","F","lots","lots","open","Mike","Unknown",2025-03-13,1899-12-31 11:00:00,1899-12-31 13:00:00,NA,"GREH-F","trapliner","Yes","Yes"
"VISA","M","N","lots","open","Mike","Unknown",2025-03-13,1899-12-31 11:00:00,1899-12-31 13:00:00,"Had a drop of dye along the style","VISA-M","trapliner","No","Yes"
"VISA","F","little","lots","open","Mike","Unknown",2025-03-13,1899-12-31 11:00:00,1899-12-31 13:00:00,NA,"VISA-F","trapliner","Yes","Yes"
"RTAH","F","N","little","bagged","Mike","Unknown",2025-03-13,1899-12-31 11:00:00,1899-12-31 13:00:00,"Too much dye","RTAH-F","territorial","No","Yes"
"RTAH","M","N","N","bagged","Mike","Unknown",2025-03-13,1899-12-31 11:00:00,1899-12-31 13:00:00,NA,"RTAH-M","territorial","No","No"
"CRWO","M","N","N","bagged","Mike","Unknown",2025-03-13,1899-12-31 11:00:00,1899-12-31 13:00:00,NA,"CRWO-M","territorial","No","No"
"CRWO","F","N","N","treatment","Mike","Unknown",2025-03-13,1899-12-31 11:00:00,1899-12-31 13:00:00,NA,"CRWO-F","territorial","No","No"
"GREH","M","N","lots","open","Ferne","Y",2025-03-14,1899-12-31 11:00:00,1899-12-31 13:00:00,NA,"GREH-M","trapliner","No","Yes"
"GREH","F","N","lots","open","Ferne","Y",2025-03-14,1899-12-31 11:00:00,1899-12-31 13:00:00,"Dye leaking out of the flower","GREH-F","trapliner","No","Yes"
"VISA","M","N","little","open","Ferne","Y",2025-03-14,1899-12-31 11:00:00,1899-12-31 13:00:00,NA,"VISA-M","trapliner","No","Yes"
"VISA","F","little","little","open","Ferne","Y",2025-03-14,1899-12-31 11:00:00,1899-12-31 13:00:00,NA,"VISA-F","trapliner","Yes","Yes"
"RTAH","M","N","N","open","Ferne","N",2025-03-14,1899-12-31 11:00:00,1899-12-31 13:00:00,NA,"RTAH-M","territorial","No","No"
"RTAH","F","little","N","open","Ferne","Y",2025-03-14,1899-12-31 11:00:00,1899-12-31 13:00:00,NA,"RTAH-F","territorial","Yes","No"
"CRWO","M","N","N","open","Ferne","N",2025-03-14,1899-12-31 11:00:00,1899-12-31 13:00:00,NA,"CRWO-M","territorial","No","No"
"CRWO","F","N","N","bagged","Ferne","N",2025-03-14,1899-12-31 11:00:00,1899-12-31 13:00:00,NA,"CRWO-F","territorial","No","No"
"GREH","F","N","little","treatment","Mike","Y",2025-03-14,1899-12-31 11:00:00,1899-12-31 13:00:00,"Dye was low on the anthers","GREH-F","trapliner","No","Yes"
"VISA","M","little","little","treatment","Mike","N",2025-03-14,1899-12-31 11:00:00,1899-12-31 13:00:00,"Some dyed pollen on the style, but not on the tip of the stigma","VISA-M","trapliner","Yes","Yes"
"VISA","F","N","N","treatment","Mike","N",2025-03-14,1899-12-31 11:00:00,1899-12-31 13:00:00,NA,"VISA-F","trapliner","No","No"
"CRWO","F","lots","lots","open","Ferne","Y",2025-03-15,1899-12-31 11:00:00,1899-12-31 11:00:00,"Dye halfway up","CRWO-F","territorial","Yes","Yes"
"CRWO","M","N","N","open","Ferne","Y",2025-03-15,1899-12-31 11:00:00,1899-12-31 11:00:00,"Dye halfway up","CRWO-M","territorial","No","No"
"RTAH","F","N","N","open","Ferne","Y",2025-03-15,1899-12-31 11:00:00,1899-12-31 11:00:00,NA,"RTAH-F","territorial","No","No"
"RTAH","M","N","N","open","Ferne","N",2025-03-15,1899-12-31 11:00:00,1899-12-31 11:00:00,NA,"RTAH-M","territorial","No","No"
"VISA","F","little","lots","open","Ferne","Y",2025-03-15,1899-12-31 11:00:00,1899-12-31 11:00:00,"Style has a lot of dye | Bill might be too small for CR","VISA-F","trapliner","Yes","Yes"
"VISA","M","lots","lots","open","Ferne","Y",2025-03-15,1899-12-31 11:00:00,1899-12-31 11:00:00,"LOTS","VISA-M","trapliner","Yes","Yes"
"GREH","F","N","little","open","Ferne","Y",2025-03-15,1899-12-31 11:00:00,1899-12-31 11:00:00,"Style has little dye","GREH-F","trapliner","No","Yes"
"GREH","M","lots","little","open","Ferne","Y",2025-03-15,1899-12-31 11:00:00,1899-12-31 11:00:00,NA,"GREH-M","trapliner","Yes","Yes"
"CRWO","F",NA,"little","open","Ferne","Y",2025-03-15,1899-12-31 11:00:00,1899-12-31 11:00:00,"Style has lots of dye | Stigma is eaten!","CRWO-F","territorial","No","Yes"
"CRWO","M","N","N","treatment","Ferne","Y",2025-03-15,1899-12-31 11:00:00,1899-12-31 11:00:00,"Dye halfway up | Big flower | Anther brown | bill is only stained a little","CRWO-M","territorial","No","No"
"RTAH","F","N","N","treatment","Ferne","Y",2025-03-15,1899-12-31 11:00:00,1899-12-31 11:00:00,NA,"RTAH-F","territorial","No","No"
"RTAH","M","N","N","treatment","Mike","N",2025-03-15,1899-12-31 11:00:00,1899-12-31 11:00:00,NA,"RTAH-M","territorial","No","No"
"GREH","F","lots","lots","treatment","Mike","Y",2025-03-15,1899-12-31 11:00:00,1899-12-31 11:00:00,NA,"GREH-F","trapliner","Yes","Yes"
"GREH","M","little","little","treatment","Mike","N",2025-03-15,1899-12-31 11:00:00,1899-12-31 11:00:00,"Flower broken | Style has lots of dye | Not sure if I trust the lack of stain on the bill","GREH-M","trapliner","Yes","Yes"
"GREH","F","N","N","bagged","Ferne","Y",2025-03-18,1899-12-31 12:00:00,1899-12-31 13:00:00,"Dye halfway up | Style has a little dye","GREH-F","trapliner","No","No"
"GREH","M","N","lots","bagged","Ferne","Y",2025-03-18,1899-12-31 12:00:00,1899-12-31 13:00:00,NA,"GREH-M","trapliner","No","Yes"
"VISA","F","lots","lots","bagged","Ferne","Y",2025-03-18,1899-12-31 12:00:00,1899-12-31 13:00:00,"Lots of nectar (dilutes the dye) | Style has lots of dye","VISA-F","trapliner","Yes","Yes"
"VISA","M","lots","lots","bagged","Ferne","Y",2025-03-18,1899-12-31 12:00:00,1899-12-31 13:00:00,"Dye halfway up | Style has a lots of dye","VISA-M","trapliner","Yes","Yes"
